Date,Open,High,Low,Close,Adj Close,Volume,Day 
2023-04-24,62.200001,62.66,61.950001,62.619999,62.138973,4815900,145
2023-04-25,62.209999,62.259998,60.560001,60.57,60.104721,4688700,146
2023-04-26,60.650002,61.220001,60.41,60.700001,60.233723,6550300,147
2023-04-27,60.73,61.490002,60.5,61.380001,60.908501,5287200,148
2023-04-28,61.130001,61.82,61.07,61.43,60.958115,4610400,149
2023-05-01,61.459999,61.830002,60.799999,61.080002,60.610806,4146900,150
2023-05-02,61,61,59.459999,60.77,60.303188,6569200,151
2023-05-03,60.84,61.490002,60.25,60.330002,59.86657,5568200,152
2023-05-04,60.259998,60.380001,59.189999,59.419998,58.963554,5949800,153
2023-05-05,60.470001,61.25,60.470001,61.169998,60.700111,5005700,154
2023-05-08,61.389999,61.669998,60.84,61.529999,61.057346,4045500,155
2023-05-09,61.18,61.57,60.650002,61.360001,60.888657,4370000,156
2023-05-10,61.990002,62.18,60.73,61.34,60.868805,4970500,157
2023-05-11,61.119999,61.66,60.82,61.150002,60.680267,3602200,158
2023-05-12,61.290001,61.369999,60.369999,60.75,60.283337,4751100,159
2023-05-15,61,61.48,60.43,61.290001,60.819191,4876900,160
2023-05-16,60.759998,60.759998,59.84,59.849998,59.390251,5810400,161
2023-05-17,60.169998,61.599998,59.889999,61.529999,61.057346,7354200,162
2023-05-18,61.16,61.779999,60.93,61.689999,61.216118,5145000,163
2023-05-19,61.23,61.23,59.299999,59.48,59.023094,7319200,164
2023-05-22,59.68,59.939999,59.139999,59.650002,59.191788,4239800,165
2023-05-23,59.310001,60.360001,59.209999,59.380001,58.923862,5012300,166
2023-05-24,60.040001,60.290001,58.790001,59.25,58.794865,6977700,167
2023-05-25,59.139999,59.139999,57.630001,58.07,57.623928,7121300,168
2023-05-26,57.880001,58.779999,57.610001,58.549999,58.100239,6761100,169
2023-05-30,58.77,58.919998,58.029999,58.57,58.120083,4597800,170
2023-05-31,57.880001,58.060001,56.509998,56.84,56.403378,7868300,171
2023-06-01,56.84,57.650002,56.200001,56.990002,56.552227,8005600,172
2023-06-02,57.689999,59.540001,57.549999,59.48,59.023094,9678700,173
2023-06-05,59.009998,59.310001,58.369999,58.599998,58.149853,4572100,174
2023-06-06,58.369999,60.610001,58.200001,60.43,59.965797,7144200,175
2023-06-07,61,61.889999,60.740002,61.650002,61.176426,6841400,176
2023-06-08,61.459999,62.720001,60.959999,62.43,61.950436,10694700,177
2023-06-09,62.630001,62.950001,61.290001,61.360001,60.888657,6674800,178
2023-06-12,61.389999,62.509998,60.93,62.279999,61.801586,4707200,179
2023-06-13,62.84,63.68,62.639999,63.549999,63.061829,5705300,180
2023-06-14,63.700001,63.950001,61.98,62.650002,62.168743,6613600,181
2023-06-15,62.349998,63.860001,62.32,63.709999,63.2206,6660200,182
2023-06-16,64.139999,64.139999,62.360001,62.66,62.178665,7115300,183
2023-06-20,62.18,62.5,61.810001,62.07,61.899437,4746600,184
2023-06-21,61.98,62.68,61.59,62.23,62.058998,3566800,185
2023-06-22,62.02,62.490002,61.57,62.299999,62.128807,3246400,186
2023-06-23,62,62.560001,61.759998,61.830002,61.660099,4284300,187
2023-06-26,61.98,62.630001,61.889999,61.959999,61.789742,3933500,188
2023-06-27,61.98,63.169998,61.77,63.02,62.846828,3971100,189
2023-06-28,62.919998,63.080002,62.5,63.080002,62.906666,4612600,190
2023-06-29,63.279999,64.010002,63.09,63.439999,63.265671,5902500,191
2023-06-30,63.889999,63.990002,62.970001,63.75,63.574821,6242100,192
2023-07-03,63.73,64.480003,63.73,64.32,64.143257,2373300,193
2023-07-05,64.139999,64.209999,63.459999,64.07,63.893944,4040600,194
2023-07-06,63.43,63.77,62.830002,63.259998,63.086166,4933600,195
2023-07-07,63.400002,64.410004,63.330002,63.869999,63.694492,3617900,196
2023-07-10,63.790001,65.050003,63.599998,65.050003,64.871254,4694900,197
2023-07-11,65.32,66.510002,65.269997,66.389999,66.207565,5837900,198
2023-07-12,67.230003,67.419998,66.269997,66.309998,66.127785,7183900,199
2023-07-13,66.550003,66.550003,65.739998,65.82,65.63913,4180000,200
2023-07-14,65.400002,65.660004,64.720001,65.209999,65.030807,4683700,201
2023-07-17,65.129997,65.830002,64.580002,65.580002,65.399796,4045000,202
2023-07-18,65.610001,66.669998,65.489998,66.279999,66.09787,5152200,203
2023-07-19,67.110001,67.620003,66.660004,67.620003,67.434189,6032600,204
2023-07-20,67.529999,67.599998,66.550003,66.690002,66.506744,6181600,205
2023-07-21,67.230003,67.230003,65.989998,66.040001,65.858528,4091700,206
2023-07-24,66.139999,66.809998,65.870003,66.449997,66.267403,3682500,207
2023-07-25,66.32,66.589996,65.949997,66.160004,65.978203,3132000,208
2023-07-26,66.32,67.279999,66.269997,67.160004,66.975456,4278300,209
2023-07-27,67.370003,67.779999,66.209999,66.419998,66.23748,4903300,210
2023-07-28,66.900002,67.43,66.709999,67.199997,67.015335,2713200,211
